,GAME_DATE
1630173,APR 16 2022
203500,APR 16 2022
1628389,APR 17 2022
1630583,APR 16 2022
200746,APR 17 2022
1629638,APR 16 2022
1628960,APR 17 2022
1628386,APR 16 2022
1630631,APR 17 2022
203937,APR 17 2022
203507,APR 16 2022
203648,APR 16 2022
2546,APR 17 2022
1630175,APR 16 2022
1628384,APR 16 2022
1627853,APR 16 2022
201571,APR 16 2022
1630166,APR 16 2022
1629028,APR 16 2022
1628962,APR 16 2022
1628963,APR 16 2022
1630163,APR 16 2022
1628366,APR 16 2022
1628964,APR 17 2022
1630217,APR 16 2022
1630625,APR 16 2022
203084,APR 16 2022
1630567,APR 16 2022
1629628,APR 17 2022
203115,APR 16 2022
1629646,APR 16 2022
1628966,APR 17 2022
201587,APR 17 2022
203145,APR 16 2022
1629647,APR 16 2022
203078,APR 17 2022
1627736,APR 17 2022
202722,APR 16 2022
201976,APR 16 2022
1630180,APR 16 2022
203920,APR 16 2022
1629048,APR 17 2022
202687,APR 16 2022
202357,APR 16 2022
202339,APR 17 2022
1629833,APR 17 2022
203992,APR 17 2022
202711,APR 16 2022
1629626,APR 16 2022
1630195,APR 16 2022
1629067,APR 16 2022
1626164,APR 16 2022
1630527,APR 17 2022
1628449,APR 17 2022
1630547,APR 16 2022
202340,APR 17 2022
1628396,APR 17 2022
1629649,APR 17 2022
1628969,APR 16 2022
1628970,APR 16 2022
1629052,APR 17 2022
1627763,APR 16 2022
1629717,APR 17 2022
1628415,APR 17 2022
1628971,APR 17 2022
1627759,APR 16 2022
1629650,APR 16 2022
1628425,APR 17 2022
1630535,APR 17 2022
1629718,APR 17 2022
1630602,APR 17 2022
1628972,APR 17 2022
1628973,APR 16 2022
1628418,APR 17 2022
203493,APR 16 2022
203504,APR 16 2022
202692,APR 17 2022
1630215,APR 16 2022
202710,APR 16 2022
1629719,APR 16 2022
203484,APR 17 2022
1630267,APR 16 2022
1628427,APR 16 2022
1629962,APR 16 2022
203991,APR 16 2022
1630176,APR 16 2022
1628975,APR 16 2022
1628976,APR 17 2022
1627936,APR 16 2022
1630551,APR 16 2022
1629185,APR 17 2022
1627737,APR 16 2022
1630528,APR 16 2022
1629109,APR 17 2022
1629634,APR 16 2022
203903,APR 17 2022
1629651,APR 17 2022
1629599,APR 16 2022
1628381,APR 17 2022
1628380,APR 17 2022
201144,APR 17 2022
1626192,APR 17 2022
1629076,APR 17 2022
1630536,APR 17 2022
202326,APR 16 2022
203496,APR 16 2022
1628470,APR 17 2022
203109,APR 17 2022
1629633,APR 16 2022
1630595,APR 17 2022
203552,APR 16 2022
201939,APR 17 2022
203076,APR 16 2022
202334,APR 16 2022
1629056,APR 16 2022
201942,APR 17 2022
203473,APR 16 2022
1628978,APR 16 2022
1628977,APR 17 2022
203476,APR 16 2022
203915,APR 16 2022
1629029,APR 16 2022
1629652,APR 17 2022
1630245,APR 16 2022
201609,APR 16 2022
