,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,GAME_DATE,SALARY
1630173,Precious Achiuwa,Raptors,Forward,6-8,225,Nigeria,1999-09-19T00:00:00,1,20,134,18.4,7.2,5.1,0.8,0.4,0.5,APR 16 2022,2711280
203500,Steven Adams,Grizzlies,Center,6-11,265,New Zealand,1993-07-20T00:00:00,8,12,664,26.8,9.3,8.0,1.5,0.9,0.9,APR 16 2022,17073171
1628389,Bam Adebayo,Heat,Center-Forward,6-9,255,USA,1997-07-18T00:00:00,4,14,343,28.2,13.5,8.3,3.5,1.0,0.9,APR 17 2022,28103550
1630583,Santi Aldama,Grizzlies,Forward-Center,6-11,215,Spain,2001-01-10T00:00:00,0,30,32,11.2,4.1,2.7,0.7,0.2,0.3,APR 16 2022,1994520
200746,Lamarcus Aldridge,Nets,Center-Forward,6-11,250,USA,1985-07-19T00:00:00,15,2,1076,33.7,19.1,8.1,1.9,0.7,1.1,APR 17 2022,2641691
1629638,Nickeil Alexander-Walker,Jazz,Guard,6-5,205,Canada,1998-09-02T00:00:00,2,17,158,19.4,9.3,2.6,2.2,0.7,0.3,APR 16 2022,3261480
1628960,Grayson Allen,Bucks,Guard,6-4,198,USA,1995-10-08T00:00:00,3,21,192,21.9,9.4,2.6,1.5,0.6,0.2,APR 17 2022,4054695
1628386,Jarrett Allen,Cavaliers,Center,6-10,243,USA,1998-04-21T00:00:00,4,22,341,26.6,11.6,8.7,1.4,0.5,1.4,APR 16 2022,20000000
1630631,Jose Alvarado,Pelicans,Guard,6-0,179,USA,1998-04-12T00:00:00,0,Undrafted,54,15.4,6.1,1.9,2.8,1.3,0.1,APR 17 2022,1500000
203937,Kyle Anderson,Grizzlies,Forward-Guard,6-9,230,USA,1993-09-20T00:00:00,7,30,505,21.0,6.7,4.4,2.3,1.0,0.6,APR 17 2022,9937150
203648,Thanasis Antetokounmpo,Bucks,Forward,6-6,219,Greece,1992-07-18T00:00:00,3,51,127,9.1,3.1,2.0,0.7,0.4,0.2,APR 16 2022,39344970
2546,Carmelo Anthony,Lakers,Forward,6-7,238,USA,1984-05-29T00:00:00,18,3,1260,34.5,22.5,6.2,2.7,1.0,0.5,APR 17 2022,2641691
1630175,Cole Anthony,Magic,Guard,6-3,185,USA,2000-05-15T00:00:00,1,15,112,29.8,14.9,5.1,5.0,0.7,0.3,APR 16 2022,3449400
1628384,Og Anunoby,Raptors,Forward,6-7,232,United Kingdom,1997-07-17T00:00:00,4,23,301,26.8,10.4,4.1,1.4,1.1,0.5,APR 16 2022,16071429
1627853,Ryan Arcidiacono,Bulls,Guard,6-3,195,USA,1994-03-26T00:00:00,4,Undrafted,217,17.2,4.6,2.0,2.1,0.5,0.0,APR 16 2022,586136
201571,D.J. Augustin,Lakers,Guard,5-11,183,USA,1987-11-10T00:00:00,13,9,976,23.4,9.5,1.8,3.9,0.6,0.0,APR 16 2022,7622467
1630166,Deni Avdija,Wizards,Forward,6-9,210,Israel,2001-01-03T00:00:00,1,9,136,23.8,7.6,5.1,1.7,0.7,0.4,APR 16 2022,4692840
1629028,Deandre Ayton,Suns,Center,6-11,250,Bahamas,1998-07-23T00:00:00,3,1,236,30.7,16.3,10.5,1.6,0.7,1.0,APR 16 2022,12632950
1628962,Udoka Azubuike,Jazz,Center-Forward,7-0,270,Nigeria,1999-09-17T00:00:00,1,27,32,7.9,3.0,2.6,0.0,0.1,0.5,APR 16 2022,2075880
1628963,Marvin Bagley Iii,Pistons,Forward,6-11,235,USA,1999-03-14T00:00:00,3,2,166,25.1,13.6,7.4,0.9,0.5,0.7,APR 16 2022,11312114
1630163,Lamelo Ball,Hornets,Guard,6-7,180,USA,2001-08-22T00:00:00,1,3,126,30.9,18.3,6.4,7.0,1.6,0.4,APR 16 2022,8231760
1628366,Lonzo Ball,Bulls,Guard,6-6,190,USA,1997-10-27T00:00:00,4,2,252,32.5,11.9,5.7,6.2,1.6,0.6,APR 16 2022,18604651
1628964,Mo Bamba,Magic,Center,7-0,231,USA,1998-05-12T00:00:00,3,6,226,18.6,7.7,6.1,0.9,0.4,1.4,APR 17 2022,7568742
1630217,Desmond Bane,Grizzlies,Guard,6-5,215,USA,1998-06-25T00:00:00,1,30,144,26.3,14.0,3.8,2.3,0.9,0.3,APR 16 2022,2033160
1630625,Dalano Banton,Raptors,Forward,6-7,204,Canada,1999-11-07T00:00:00,0,46,64,10.9,3.2,1.9,1.5,0.4,0.2,APR 16 2022,925258
203084,Harrison Barnes,Kings,Forward,6-8,225,USA,1992-05-30T00:00:00,9,7,747,31.8,14.1,5.1,1.8,0.7,0.2,APR 16 2022,20284091
1630567,Scottie Barnes,Raptors,Forward,6-7,225,USA,2001-08-01T00:00:00,0,4,74,35.4,15.3,7.5,3.5,1.1,0.7,APR 16 2022,7280520
1629628,Rj Barrett,Knicks,Forward-Guard,6-6,214,Canada,2000-06-14T00:00:00,2,3,198,33.5,17.5,5.6,2.9,0.8,0.3,APR 17 2022,8623920
203115,Will Barton,Nuggets,Guard,6-5,181,USA,1991-01-06T00:00:00,9,40,623,25.9,11.6,4.3,2.7,0.8,0.4,APR 16 2022,15384615
1629646,Charles Bassey,76ers,Center-Forward,6-9,230,Nigeria,2000-10-28T00:00:00,0,53,23,7.3,3.0,2.7,0.3,0.2,0.7,APR 16 2022,925258
1628966,Keita Bates-Diop,Spurs,Forward,6-8,229,USA,1996-01-23T00:00:00,3,48,163,15.0,5.2,3.0,0.6,0.5,0.3,APR 17 2022,1729217
201587,Nicolas Batum,Clippers,Guard-Forward,6-8,230,France,1988-12-14T00:00:00,13,25,915,30.6,11.1,5.1,3.5,1.0,0.6,APR 17 2022,12213507
203145,Kent Bazemore,Lakers,Guard-Forward,6-4,195,USA,1989-07-01T00:00:00,9,Undrafted,657,20.6,8.2,3.2,1.8,1.0,0.5,APR 16 2022,2401537
1629647,Darius Bazley,Thunder,Forward,6-8,208,USA,2000-06-12T00:00:00,2,23,185,25.8,10.0,5.8,1.3,0.6,0.7,APR 16 2022,2513040
203078,Bradley Beal,Wizards,Guard,6-4,207,USA,1993-06-28T00:00:00,9,3,645,34.8,22.1,4.1,4.2,1.1,0.4,APR 17 2022,34502130
1627736,Malik Beasley,Timberwolves,Guard,6-4,187,USA,1996-11-26T00:00:00,5,19,336,20.9,10.4,2.5,1.2,0.6,0.1,APR 17 2022,14391964
202722,Davis Bertans,Mavericks,Forward,6-10,225,Latvia,1992-11-12T00:00:00,5,42,387,19.1,8.2,2.7,1.0,0.4,0.4,APR 16 2022,16000000
